Transaction_ID,Customer_ID,Date,Year,Month,Day,Product_ID,Quantity,Total_Amount,Promo_Code,Store_Location
3028,3031,1/22/2022,2022,1,22,2019,1,381.59,HOLIDAY,Mobile App
3029,3464,5/19/2023,2023,5,19,2080,10,1323.4,NA,Mobile App
3030,1187,3/20/2022,2022,3,20,2024,7,685.37,FREESHIP,Physical Store
3031,1527,3/1/2023,2023,3,1,2082,6,585.06,SAVE10,Physical Store
3032,2211,2/26/2022,2022,2,26,2040,6,555.36,HOLIDAY,Physical Store
3033,1912,6/6/2022,2022,6,6,2048,10,4367.5,NA,Physical Store
3034,3391,4/1/2022,2022,4,1,2014,9,2457.09,SAVE10,Online
3035,2266,11/24/2023,2023,11,24,2005,9,919.53,NA,Online
3036,2112,8/7/2022,2022,8,7,2062,8,654.08,FREESHIP,Mobile App
3037,1210,4/20/2022,2022,4,20,2033,3,388.74,SAVE10,Online
3038,1019,6/16/2023,2023,6,16,2046,9,317.43,SAVE10,Online
3039,2754,2/6/2023,2023,2,6,2096,1,493.78,FREESHIP,Mobile App
3040,1827,9/7/2023,2023,9,7,2044,7,1424.15,FREESHIP,Online
3041,3480,3/8/2023,2023,3,8,2010,6,1763.64,NA,Online
3042,2305,12/18/2023,2023,12,18,2001,5,1526.1,NA,Physical Store
3043,2696,12/16/2022,2022,12,16,2078,3,188.64,SAVE10,Online
3044,3050,12/9/2023,2023,12,9,2088,9,3866.22,SAVE10,Online
3045,2567,4/24/2023,2023,4,24,2037,9,4148.73,SAVE10,Mobile App
3046,2560,9/28/2023,2023,9,28,2046,1,35.27,SAVE10,Online
3047,1397,8/27/2022,2022,8,27,2095,10,4031,SAVE10,Mobile App
3048,1645,9/9/2022,2022,9,9,2054,1,37,SAVE10,Online
3049,2136,5/4/2023,2023,5,4,2053,6,2429.22,FREESHIP,Online
3050,2525,11/19/2023,2023,11,19,2038,4,1354.92,NA,Online
3051,1592,11/1/2022,2022,11,1,2009,1,295.99,SAVE10,Physical Store
3052,2061,12/27/2022,2022,12,27,2034,8,445.2,FREESHIP,Mobile App
3053,2140,1/10/2022,2022,1,10,2077,1,271.48,SAVE10,Mobile App
3054,2449,9/11/2023,2023,9,11,2062,10,817.6,HOLIDAY,Mobile App
3055,2175,2/23/2022,2022,2,23,2065,10,1513.1,HOLIDAY,Online
3056,1513,8/20/2022,2022,8,20,2019,3,1144.77,SAVE10,Online
3057,1067,3/8/2022,2022,3,8,2018,7,1412.53,FREESHIP,Physical Store
3058,2384,4/28/2022,2022,4,28,2006,1,493.17,NA,Mobile App
3059,1708,2/14/2023,2023,2,14,2066,1,115.63,FREESHIP,Online
3060,1290,3/6/2022,2022,3,6,2049,8,1750.72,FREESHIP,Mobile App
3061,2590,7/18/2023,2023,7,18,2012,4,1334.24,FREESHIP,Physical Store
3062,2389,7/24/2022,2022,7,24,2068,7,391.3,NA,Online
3063,1103,3/6/2023,2023,3,6,2021,4,1608.92,NA,Online
3064,1119,10/31/2022,2022,10,31,2043,4,1586.36,FREESHIP,Online
3065,2001,3/19/2023,2023,3,19,2077,2,542.96,HOLIDAY,Physical Store
3066,3404,8/4/2023,2023,8,4,2069,4,1283.92,HOLIDAY,Physical Store
3067,1339,8/19/2022,2022,8,19,2096,7,3456.46,FREESHIP,Online
3068,1156,7/14/2023,2023,7,14,2100,9,1535.58,FREESHIP,Online
3069,1080,5/23/2022,2022,5,23,2008,7,2428.65,NA,Online
3070,1169,1/18/2022,2022,1,18,2093,7,938.14,NA,Physical Store
3071,2094,4/22/2023,2023,4,22,2063,1,48.7,SAVE10,Mobile App
3072,2423,10/11/2023,2023,10,11,2034,4,222.6,NA,Online
3073,2190,3/11/2023,2023,3,11,2071,4,433.88,HOLIDAY,Physical Store
3074,2485,12/17/2023,2023,12,17,2067,10,1810.5,NA,Mobile App
3075,1777,3/25/2023,2023,3,25,2038,3,1016.19,HOLIDAY,Mobile App
3076,2385,7/17/2023,2023,7,17,2048,6,2620.5,HOLIDAY,Physical Store
3077,1844,1/29/2023,2023,1,29,2066,5,578.15,NA,Physical Store
3078,1718,5/2/2022,2022,5,2,2086,6,2753.76,HOLIDAY,Online
3079,1123,3/19/2023,2023,3,19,2013,5,840.45,NA,Mobile App
3080,3251,9/9/2022,2022,9,9,2062,10,817.6,HOLIDAY,Online
3081,3213,7/19/2023,2023,7,19,2016,3,135.09,HOLIDAY,Online
3082,3394,3/23/2022,2022,3,23,2053,1,404.87,SAVE10,Mobile App
3083,2911,2/8/2022,2022,2,8,2087,7,297.71,HOLIDAY,Mobile App
3084,2279,10/18/2022,2022,10,18,2054,9,333,FREESHIP,Mobile App
3085,1952,10/23/2023,2023,10,23,2016,3,135.09,SAVE10,Physical Store
3086,1398,2/24/2023,2023,2,24,2007,2,159.12,SAVE10,Physical Store
3087,1560,3/19/2023,2023,3,19,2019,9,3434.31,HOLIDAY,Physical Store
3088,3025,5/8/2023,2023,5,8,2084,6,2966.46,NA,Physical Store
3089,2315,8/30/2023,2023,8,30,2051,5,1378.9,FREESHIP,Mobile App
3090,1716,12/11/2023,2023,12,11,2031,3,487.26,SAVE10,Online
3091,2361,10/12/2023,2023,10,12,2066,5,578.15,FREESHIP,Online
3092,2577,10/19/2023,2023,10,19,2009,9,2663.91,FREESHIP,Physical Store
3093,3265,6/3/2023,2023,6,3,2051,6,1654.68,SAVE10,Mobile App
3094,3129,6/9/2022,2022,6,9,2053,7,2834.09,NA,Online
3095,1399,6/19/2022,2022,6,19,2059,7,195.23,HOLIDAY,Physical Store
3096,2930,2/27/2022,2022,2,27,2063,2,97.4,FREESHIP,Physical Store
3097,2987,1/2/2022,2022,1,2,2057,1,266.1,HOLIDAY,Online
3098,1667,2/15/2022,2022,2,15,2063,8,389.6,HOLIDAY,Physical Store
3099,3404,12/11/2023,2023,12,11,2093,7,938.14,FREESHIP,Mobile App
3100,3410,7/14/2022,2022,7,14,2035,9,4111.74,NA,Online
3101,1151,7/1/2022,2022,7,1,2053,4,1619.48,FREESHIP,Mobile App
3102,2091,6/22/2023,2023,6,22,2074,8,1308.72,HOLIDAY,Online
3103,3294,10/1/2022,2022,10,1,2001,8,2441.76,FREESHIP,Physical Store
3104,1857,6/22/2023,2023,6,22,2025,1,411.57,FREESHIP,Physical Store
3105,2173,2/19/2023,2023,2,19,2025,1,411.57,FREESHIP,Online
3106,3328,3/14/2023,2023,3,14,2001,7,2136.54,FREESHIP,Physical Store
3107,1723,9/20/2023,2023,9,20,2008,8,2775.6,HOLIDAY,Physical Store
3108,3111,8/30/2023,2023,8,30,2050,7,2004.59,SAVE10,Physical Store
3109,1254,12/9/2022,2022,12,9,2070,8,267.12,FREESHIP,Online
3110,2275,11/20/2022,2022,11,20,2053,8,3238.96,HOLIDAY,Mobile App
3111,1564,12/16/2022,2022,12,16,2087,7,297.71,NA,Online
3112,1183,11/20/2022,2022,11,20,2085,6,2662.44,SAVE10,Physical Store
3113,3193,5/28/2022,2022,5,28,2051,7,1930.46,SAVE10,Physical Store
3114,1289,3/15/2022,2022,3,15,2052,8,2733.52,SAVE10,Physical Store
3115,2664,11/29/2023,2023,11,29,2003,1,230.25,SAVE10,Mobile App
3116,1079,10/31/2022,2022,10,31,2016,2,90.06,SAVE10,Physical Store
3117,2058,5/1/2023,2023,5,1,2033,1,129.58,SAVE10,Online
3118,2085,1/12/2022,2022,1,12,2072,1,329.5,SAVE10,Mobile App
3119,2233,8/15/2023,2023,8,15,2071,10,1084.7,FREESHIP,Online
3120,3459,12/14/2023,2023,12,14,2090,7,1787.87,FREESHIP,Mobile App
3121,3035,4/27/2022,2022,4,27,2061,4,1738.64,NA,Physical Store
3122,3128,6/28/2023,2023,6,28,2029,7,1443.12,SAVE10,Physical Store
3123,2827,4/14/2023,2023,4,14,2084,3,1483.23,SAVE10,Physical Store
3124,3186,2/2/2022,2022,2,2,2021,9,3620.07,NA,Mobile App
3125,1170,2/12/2023,2023,2,12,2061,4,1738.64,HOLIDAY,Physical Store
3126,2220,5/2/2022,2022,5,2,2016,8,360.24,HOLIDAY,Online
3127,2886,6/4/2023,2023,6,4,2024,1,97.91,SAVE10,Mobile App
3128,1676,9/9/2022,2022,9,9,2022,6,1716.24,FREESHIP,Online
3129,2507,5/22/2023,2023,5,22,2078,1,62.88,SAVE10,Online
3130,2045,8/29/2022,2022,8,29,2038,7,2371.11,SAVE10,Mobile App
3131,1842,8/6/2023,2023,8,6,2005,8,817.36,SAVE10,Physical Store
3132,1214,12/6/2022,2022,12,6,2040,1,92.56,HOLIDAY,Online
3133,2522,1/18/2022,2022,1,18,2002,9,4216.95,NA,Online
3134,3086,3/21/2023,2023,3,21,2064,1,388.3,NA,Physical Store
3135,1830,8/21/2023,2023,8,21,2100,2,341.24,NA,Mobile App
3136,2644,8/7/2022,2022,8,7,2066,3,346.89,HOLIDAY,Online
3137,2344,8/14/2023,2023,8,14,2050,2,572.74,NA,Physical Store
3138,1096,8/12/2023,2023,8,12,2063,5,243.5,SAVE10,Physical Store
3139,1754,2/3/2022,2022,2,3,2090,9,2298.69,FREESHIP,Online
3140,1846,6/1/2023,2023,6,1,2010,9,2645.46,NA,Mobile App
3141,3022,10/15/2023,2023,10,15,2086,1,458.96,FREESHIP,Physical Store
3142,2647,10/31/2022,2022,10,31,2011,9,669.51,FREESHIP,Physical Store
3143,2765,3/5/2023,2023,3,5,2014,9,2457.09,FREESHIP,Online
3144,2572,3/2/2022,2022,3,2,2064,3,1164.9,NA,Physical Store
3145,1559,5/25/2022,2022,5,25,2092,4,706.76,HOLIDAY,Mobile App
3146,1656,9/27/2023,2023,9,27,2077,8,2171.84,SAVE10,Online
3147,2400,1/3/2023,2023,1,3,2041,4,946.44,FREESHIP,Physical Store
3148,1269,5/30/2023,2023,5,30,2028,4,1476.28,HOLIDAY,Physical Store
3149,2131,12/29/2023,2023,12,29,2056,3,281.94,SAVE10,Mobile App
3150,3260,5/30/2023,2023,5,30,2085,8,3549.92,NA,Physical Store
3151,2262,8/27/2022,2022,8,27,2089,2,144.1,NA,Physical Store
3152,2744,10/6/2023,2023,10,6,2006,2,986.34,NA,Mobile App
3153,3322,10/4/2022,2022,10,4,2009,9,2663.91,HOLIDAY,Physical Store
3154,1365,9/29/2023,2023,9,29,2006,5,2465.85,SAVE10,Mobile App
3155,2967,2/4/2022,2022,2,4,2032,3,1293.63,NA,Physical Store
3156,2054,12/10/2023,2023,12,10,2002,2,937.1,SAVE10,Mobile App
3157,3138,6/2/2022,2022,6,2,2086,9,4130.64,HOLIDAY,Mobile App
3158,3387,4/7/2023,2023,4,7,2067,8,1448.4,NA,Online
3159,1395,1/4/2022,2022,1,4,2044,6,1220.7,SAVE10,Mobile App
3160,3024,7/7/2023,2023,7,7,2097,6,1880.82,NA,Mobile App
3161,2544,9/9/2022,2022,9,9,2016,5,225.15,HOLIDAY,Mobile App
3162,2931,4/22/2022,2022,4,22,2038,4,1354.92,HOLIDAY,Online
3163,1447,11/7/2023,2023,11,7,2081,4,1677.6,NA,Mobile App
3164,2574,4/9/2023,2023,4,9,2054,4,148,SAVE10,Physical Store
3165,2528,5/7/2023,2023,5,7,2064,3,1164.9,SAVE10,Physical Store
3166,2398,9/12/2022,2022,9,12,2045,9,3129.48,HOLIDAY,Physical Store
3167,2775,12/31/2023,2023,12,31,2011,10,743.9,FREESHIP,Mobile App
3168,1802,7/6/2022,2022,7,6,2052,7,2391.83,SAVE10,Physical Store
3169,3447,3/25/2023,2023,3,25,2024,8,783.28,SAVE10,Physical Store
3170,3122,11/5/2023,2023,11,5,2007,7,556.92,FREESHIP,Mobile App
3171,1394,10/2/2023,2023,10,2,2016,5,225.15,SAVE10,Physical Store
3172,3223,1/12/2022,2022,1,12,2098,4,1664.4,HOLIDAY,Physical Store
3173,1916,8/30/2023,2023,8,30,2005,7,715.19,HOLIDAY,Online
3174,3368,11/2/2022,2022,11,2,2019,8,3052.72,NA,Online
3175,2358,3/7/2022,2022,3,7,2013,8,1344.72,NA,Physical Store
3176,2403,3/8/2022,2022,3,8,2025,5,2057.85,FREESHIP,Physical Store
3177,1489,5/29/2022,2022,5,29,2042,2,305.52,HOLIDAY,Online
3178,1538,10/6/2022,2022,10,6,2012,9,3002.04,NA,Online
3179,1141,2/2/2023,2023,2,2,2100,9,1535.58,SAVE10,Physical Store
3180,3003,6/17/2023,2023,6,17,2012,9,3002.04,SAVE10,Mobile App
3181,1575,9/11/2023,2023,9,11,2032,1,431.21,NA,Online
3182,1138,7/3/2022,2022,7,3,2098,4,1664.4,SAVE10,Mobile App
3183,1631,5/2/2023,2023,5,2,2086,6,2753.76,NA,Physical Store
3184,2090,6/15/2023,2023,6,15,2017,1,266.87,FREESHIP,Online
3185,1305,11/16/2022,2022,11,16,2004,3,206.55,FREESHIP,Mobile App
3186,1763,1/12/2022,2022,1,12,2060,9,1197.81,FREESHIP,Physical Store
3187,2591,8/8/2022,2022,8,8,2014,8,2184.08,NA,Online
3188,3376,9/23/2022,2022,9,23,2094,3,961.74,FREESHIP,Physical Store
3189,3256,8/26/2023,2023,8,26,2094,6,1923.48,FREESHIP,Online
3190,3292,3/30/2023,2023,3,30,2069,1,320.98,FREESHIP,Mobile App
3191,2414,6/30/2023,2023,6,30,2029,3,618.48,FREESHIP,Online
3192,3051,2/17/2022,2022,2,17,2082,9,877.59,FREESHIP,Physical Store
3193,3357,3/11/2023,2023,3,11,2014,9,2457.09,SAVE10,Mobile App
3194,1117,11/5/2022,2022,11,5,2090,3,766.23,NA,Physical Store
3195,2360,7/25/2023,2023,7,25,2088,4,1718.32,HOLIDAY,Physical Store
3196,3043,5/17/2023,2023,5,17,2096,4,1975.12,HOLIDAY,Online
3197,1646,2/18/2022,2022,2,18,2015,9,4403.52,HOLIDAY,Physical Store
3198,1734,11/29/2022,2022,11,29,2073,7,1520.4,FREESHIP,Mobile App
3199,3208,1/30/2022,2022,1,30,2009,9,2663.91,SAVE10,Online
3200,2230,5/27/2022,2022,5,27,2083,5,2011.35,FREESHIP,Physical Store
3201,3270,7/22/2023,2023,7,22,2057,3,798.3,FREESHIP,Online
3202,2567,12/11/2023,2023,12,11,2036,10,3989,HOLIDAY,Mobile App
3203,1576,10/21/2022,2022,10,21,2011,4,297.56,HOLIDAY,Mobile App
3204,2202,4/10/2022,2022,4,10,2012,6,2001.36,SAVE10,Physical Store
3205,1553,10/27/2022,2022,10,27,2098,8,3328.8,FREESHIP,Online
3206,1497,5/22/2023,2023,5,22,2042,5,763.8,NA,Physical Store
3207,1941,11/20/2023,2023,11,20,2091,8,1587.84,NA,Physical Store
3208,2167,8/9/2022,2022,8,9,2088,9,3866.22,FREESHIP,Online
3209,2012,6/17/2022,2022,6,17,2073,8,1737.6,SAVE10,Physical Store
3210,3350,9/4/2023,2023,9,4,2075,1,67.15,FREESHIP,Online
3211,2188,1/2/2022,2022,1,2,2010,10,2939.4,FREESHIP,Online
3212,2494,4/11/2022,2022,4,11,2064,2,776.6,FREESHIP,Physical Store
3213,2155,9/22/2023,2023,9,22,2098,5,2080.5,FREESHIP,Online
3214,3263,6/7/2023,2023,6,7,2011,8,595.12,SAVE10,Mobile App
3215,2014,9/23/2022,2022,9,23,2090,6,1532.46,FREESHIP,Physical Store
3216,3096,12/16/2023,2023,12,16,2080,6,794.04,HOLIDAY,Mobile App
3217,2937,2/25/2023,2023,2,25,2056,2,187.96,HOLIDAY,Online
3218,1892,11/10/2022,2022,11,10,2023,8,311.68,FREESHIP,Online
3219,1354,9/13/2023,2023,9,13,2046,9,317.43,FREESHIP,Physical Store
3220,2902,7/16/2023,2023,7,16,2007,7,556.92,NA,Physical Store
3221,2780,9/29/2023,2023,9,29,2057,1,266.1,HOLIDAY,Mobile App
3222,1687,7/6/2022,2022,7,6,2095,4,1612.4,SAVE10,Mobile App
3223,2135,10/1/2023,2023,10,1,2068,3,167.7,HOLIDAY,Mobile App
3224,2404,8/11/2023,2023,8,11,2091,9,1786.32,SAVE10,Mobile App
3225,3322,2/18/2022,2022,2,18,2003,5,1151.25,HOLIDAY,Mobile App
3226,1241,1/21/2022,2022,1,21,2081,8,3355.2,HOLIDAY,Physical Store
3227,2512,2/12/2022,2022,2,12,2055,8,1874.96,SAVE10,Online
3228,1331,12/10/2022,2022,12,10,2039,5,598.8,FREESHIP,Physical Store
3229,1423,4/2/2022,2022,4,2,2074,3,490.77,SAVE10,Mobile App
3230,2371,6/15/2022,2022,6,15,2082,10,975.1,FREESHIP,Mobile App
3231,1737,10/16/2022,2022,10,16,2060,5,665.45,NA,Online
3232,1938,1/23/2022,2022,1,23,2085,2,887.48,SAVE10,Mobile App
3233,1866,5/23/2023,2023,5,23,2004,3,206.55,HOLIDAY,Mobile App
3234,2557,6/25/2022,2022,6,25,2049,7,1531.88,HOLIDAY,Physical Store
3235,1685,2/20/2022,2022,2,20,2073,2,434.4,NA,Mobile App
3236,1130,10/17/2022,2022,10,17,2083,9,3620.43,HOLIDAY,Online
3237,1888,7/1/2022,2022,7,1,2023,7,272.72,SAVE10,Online
3238,3383,5/15/2022,2022,5,15,2060,10,1330.9,NA,Mobile App
3239,3389,9/15/2022,2022,9,15,2094,4,1282.32,FREESHIP,Physical Store
3240,3280,1/30/2023,2023,1,30,2047,8,3483.2,FREESHIP,Online
3241,2606,8/29/2022,2022,8,29,2090,5,1277.05,NA,Online
3242,1711,11/14/2023,2023,11,14,2091,7,1389.36,NA,Online
3243,2030,5/5/2023,2023,5,5,2080,10,1323.4,NA,Mobile App
3244,2030,12/17/2022,2022,12,17,2020,5,2455.75,NA,Mobile App
3245,3207,11/6/2023,2023,11,6,2073,1,217.2,HOLIDAY,Mobile App
3246,2604,5/22/2023,2023,5,22,2072,10,3295,FREESHIP,Mobile App
3247,1052,8/31/2023,2023,8,31,2011,6,446.34,NA,Online
3248,1717,10/30/2023,2023,10,30,2073,8,1737.6,NA,Online
3249,3036,10/29/2022,2022,10,29,2054,7,259,NA,Mobile App
3250,2417,12/25/2022,2022,12,25,2092,8,1413.52,SAVE10,Mobile App
3251,2314,9/24/2022,2022,9,24,2026,6,1502.64,SAVE10,Mobile App
3252,2328,4/29/2022,2022,4,29,2026,3,751.32,FREESHIP,Mobile App
3253,2077,3/4/2023,2023,3,4,2043,2,793.18,FREESHIP,Online
3254,2071,9/19/2022,2022,9,19,2049,6,1313.04,SAVE10,Mobile App
3255,2943,11/1/2023,2023,11,1,2089,9,648.45,FREESHIP,Physical Store
3256,2828,5/1/2023,2023,5,1,2082,1,97.51,HOLIDAY,Physical Store
3257,1413,8/1/2023,2023,8,1,2035,9,4111.74,SAVE10,Mobile App
3258,1349,8/6/2022,2022,8,6,2004,7,481.95,FREESHIP,Online
3259,1094,3/13/2023,2023,3,13,2078,10,628.8,HOLIDAY,Online
3260,2999,2/13/2022,2022,2,13,2070,3,100.17,SAVE10,Mobile App
3261,1424,6/22/2022,2022,6,22,2007,3,238.68,SAVE10,Online
3262,2946,11/19/2023,2023,11,19,2087,6,255.18,NA,Mobile App
3263,2878,10/12/2023,2023,10,12,2076,3,284.67,HOLIDAY,Physical Store
3264,2088,7/25/2023,2023,7,25,2062,1,81.76,FREESHIP,Physical Store
3265,1121,7/13/2022,2022,7,13,2099,10,4451.7,HOLIDAY,Mobile App
3266,2306,1/5/2022,2022,1,5,2087,1,42.53,NA,Mobile App
3267,2794,7/3/2023,2023,7,3,2031,5,812.1,SAVE10,Mobile App
3268,2503,5/13/2022,2022,5,13,2070,5,166.95,HOLIDAY,Physical Store
3269,3287,2/26/2023,2023,2,26,2045,9,3129.48,SAVE10,Mobile App
3270,3435,2/27/2022,2022,2,27,2077,5,1357.4,FREESHIP,Online
3271,1946,1/31/2023,2023,1,31,2060,5,665.45,HOLIDAY,Mobile App
3272,3101,5/1/2022,2022,5,1,2062,2,163.52,SAVE10,Online
3273,2851,5/4/2022,2022,5,4,2100,8,1364.96,HOLIDAY,Physical Store
3274,3226,1/29/2022,2022,1,29,2053,1,404.87,NA,Mobile App
3275,1067,1/23/2022,2022,1,23,2078,9,565.92,NA,Physical Store
3276,1781,1/29/2023,2023,1,29,2090,2,510.82,NA,Physical Store
3277,2933,2/3/2023,2023,2,3,2020,3,1473.45,FREESHIP,Mobile App
3278,2111,3/2/2022,2022,3,2,2031,10,1624.2,SAVE10,Online
3279,2153,10/13/2023,2023,10,13,2066,4,462.52,HOLIDAY,Online
3280,1630,5/13/2023,2023,5,13,2027,7,1971.76,FREESHIP,Online
3281,3259,5/8/2022,2022,5,8,2078,6,377.28,SAVE10,Physical Store
3282,2688,10/23/2023,2023,10,23,2079,8,3177.84,NA,Physical Store
3283,1058,11/23/2022,2022,11,23,2066,7,809.41,SAVE10,Online
3284,1224,2/9/2023,2023,2,9,2049,1,218.84,FREESHIP,Mobile App
3285,2751,9/30/2023,2023,9,30,2081,7,2935.8,FREESHIP,Mobile App
3286,3419,7/31/2023,2023,7,31,2015,8,3914.24,HOLIDAY,Online
3287,1985,12/24/2023,2023,12,24,2100,10,1706.2,SAVE10,Online
3288,1362,9/25/2022,2022,9,25,2063,6,292.2,SAVE10,Physical Store
3289,1489,3/7/2023,2023,3,7,2060,9,1197.81,HOLIDAY,Physical Store
3290,1321,6/2/2022,2022,6,2,2014,4,1092.04,NA,Online
3291,1638,10/21/2022,2022,10,21,2009,4,1183.96,NA,Physical Store
3292,1514,11/2/2022,2022,11,2,2063,2,97.4,SAVE10,Physical Store
3293,3344,6/3/2023,2023,6,3,2006,1,493.17,HOLIDAY,Physical Store
3294,2678,9/6/2023,2023,9,6,2044,4,813.8,SAVE10,Online
3295,3160,8/23/2023,2023,8,23,2045,7,2434.04,SAVE10,Online
3296,1844,1/11/2022,2022,1,11,2097,1,313.47,SAVE10,Online
3297,1620,6/8/2022,2022,6,8,2078,1,62.88,NA,Physical Store
3298,2123,12/3/2023,2023,12,3,2054,2,74,HOLIDAY,Physical Store
3299,1436,4/20/2023,2023,4,20,2012,3,1000.68,SAVE10,Mobile App
3300,3490,1/15/2023,2023,1,15,2070,9,300.51,HOLIDAY,Physical Store
3301,1116,7/9/2022,2022,7,9,2052,6,2050.14,NA,Online
3302,2208,11/9/2022,2022,11,9,2089,2,144.1,NA,Physical Store
3303,3468,4/30/2023,2023,4,30,2022,6,1716.24,HOLIDAY,Online
3304,2319,1/16/2023,2023,1,16,2077,5,1357.4,NA,Mobile App
3305,2696,9/13/2022,2022,9,13,2038,6,2032.38,SAVE10,Physical Store
3306,1337,6/5/2023,2023,6,5,2060,9,1197.81,HOLIDAY,Online
3307,3278,12/19/2022,2022,12,19,2097,2,626.94,HOLIDAY,Mobile App
3308,2844,11/24/2022,2022,11,24,2024,4,391.64,FREESHIP,Physical Store
3309,3379,12/17/2022,2022,12,17,2038,6,2032.38,SAVE10,Physical Store
3310,2890,1/11/2023,2023,1,11,2091,5,992.4,FREESHIP,Physical Store
3311,1382,10/26/2022,2022,10,26,2099,1,445.17,NA,Mobile App
3312,2012,5/20/2023,2023,5,20,2089,4,288.2,NA,Physical Store
3313,2167,11/16/2023,2023,11,16,2010,4,1175.76,FREESHIP,Mobile App
3314,2185,2/23/2022,2022,2,23,2061,4,1738.64,SAVE10,Online
3315,1455,1/1/2023,2023,1,1,2045,2,695.44,HOLIDAY,Online
3316,3408,11/3/2023,2023,11,3,2052,10,3416.9,NA,Physical Store
3317,1866,1/21/2023,2023,1,21,2038,4,1354.92,NA,Online
3318,1382,12/9/2023,2023,12,9,2009,6,1775.94,FREESHIP,Mobile App
3319,1981,5/9/2023,2023,5,9,2016,6,270.18,FREESHIP,Online
3320,1440,8/20/2022,2022,8,20,2097,10,3134.7,HOLIDAY,Online
3321,2889,7/12/2022,2022,7,12,2087,8,340.24,SAVE10,Physical Store
3322,1208,4/9/2023,2023,4,9,2060,10,1330.9,NA,Online
3323,3491,10/3/2023,2023,10,3,2084,1,494.41,HOLIDAY,Mobile App
3324,2869,10/22/2022,2022,10,22,2099,3,1335.51,NA,Mobile App
3325,3086,9/1/2022,2022,9,1,2023,7,272.72,SAVE10,Online
3326,2816,12/24/2023,2023,12,24,2044,7,1424.15,FREESHIP,Physical Store
3327,1541,4/24/2023,2023,4,24,2083,2,804.54,FREESHIP,Mobile App
3328,1181,4/10/2023,2023,4,10,2017,4,1067.48,NA,Physical Store
3329,1204,9/22/2022,2022,9,22,2065,7,1059.17,SAVE10,Online
3330,3269,9/26/2022,2022,9,26,2085,1,443.74,FREESHIP,Online
3331,3468,7/28/2023,2023,7,28,2085,5,2218.7,HOLIDAY,Physical Store
3332,2617,7/22/2022,2022,7,22,2046,7,246.89,HOLIDAY,Mobile App
3333,3454,1/15/2023,2023,1,15,2072,8,2636,HOLIDAY,Physical Store
3334,2290,1/20/2022,2022,1,20,2069,1,320.98,HOLIDAY,Online
3335,1391,12/25/2023,2023,12,25,2054,7,259,HOLIDAY,Online
3336,2883,11/18/2023,2023,11,18,2009,5,1479.95,HOLIDAY,Online
3337,2817,8/28/2022,2022,8,28,2056,4,375.92,FREESHIP,Mobile App
3338,2808,3/4/2022,2022,3,4,2005,9,919.53,NA,Physical Store
3339,1668,5/15/2023,2023,5,15,2071,9,976.23,NA,Mobile App
3340,2186,5/27/2023,2023,5,27,2067,8,1448.4,NA,Mobile App
3341,1141,3/31/2022,2022,3,31,2071,3,325.41,SAVE10,Mobile App
3342,1940,6/18/2023,2023,6,18,2049,3,656.52,NA,Online
3343,1625,6/7/2023,2023,6,7,2093,10,1340.2,HOLIDAY,Mobile App
